Label,# Requests,Average (ms),Min (ms),Max (ms),Std. Dev. (ms),Error %,Throughput (requests/sec),Received KB/sec,Sent KB/sec,Avg. Bytes
async,100,5,2,11,1.04,0.000%,100.20040,176.32,28.47,1802.0
sync,100,12,5,64,14.93,0.000%,110.74197,202.73,32.88,1874.6
mock,100,1,0,11,1.10,0.000%,101.11223,72.58,30.02,735.0
async,1000,512,3,982,322.01,0.000%,500.50050,5981.97,142.23,12238.8
sync,1000,728,10,1192,315.20,0.000%,453.72051,4970.33,134.70,11217.5
mock,1000,1,0,12,0.92,0.000%,959.69290,688.84,284.91,735.0
async,10000,7972,17,17368,4308.47,39.100%,508.59526,18522.96,88.02,37293.9
sync,10000,9325,15,21031,5046.79,14.100%,438.36577,32437.66,111.79,75772.7
mock,10000,992,0,4608,1054.71,0.000%,1699.23534,1219.67,504.46,735.0

